x,y,z
-25.228888,-16.778916,-53.118909
-31.531212,-11.563554,-52.163661
-39.359599,-7.681676,-47.662126
-46.994945,-9.722099,-48.992522
-55.626078,-14.56431,-55.990509
-48.322002,-19.11157,-51.375815
-39.67255,-19.12656,-50.616476
-31.620156,-17.851934,-53.314167
8.920155,-16.238758,-59.053053
14.143732,-11.965801,-59.163322
24.719387,-7.732306,-58.569587
31.487561,-10.441931,-64.704739
36.198214,-16.371653,-71.135557
31.550638,-19.992237,-65.058556
23.585256,-19.267277,-60.441749
15.203448,-18.287648,-59.761019
-24.505652,0.170767,-39.916213
-34.151985,4.425844,-40.58089
-43.062942,5.702624,-43.19064
-51.113115,6.006968,-46.713695
-59.7859,5.520428,-53.393768
-58.226409,2.116104,-51.028248
-50.885545,1.685322,-45.821814
-43.073139,-0.58683,-43.838944
-34.658126,-3.690312,-44.466456
-25.114658,-5.782048,-44.437206
11.331647,-0.2787,-46.404991
20.338366,2.125018,-49.760315
27.148357,5.690221,-54.250307
34.613496,7.560549,-63.349581
39.290078,4.934954,-69.926229
38.575687,0.39692,-66.799288
34.896137,0.99225,-61.194495
27.145649,-0.602397,-54.900307
19.993362,-3.912682,-53.383282
14.002449,-4.138052,-50.722701
-15.27921,-11.163379,-42.531038
-14.515992,-22.972772,-38.409794
-14.714098,-34.716749,-33.734637
-21.98746,-44.811994,-41.409392
-16.333966,-55.282374,-39.59447
-8.999862,-55.491249,-32.088862
0.057379,-56.374265,-34.122247
6.951292,-55.928085,-45.017611
10.571573,-46.345124,-48.566481
3.965598,-34.600104,-33.807837
2.40257,-22.496298,-44.643854
1.966537,-11.834544,-46.963303
-32.316245,-77.151484,-49.850779
-21.606219,-70.921535,-41.331761
-11.569774,-67.807497,-36.700661
-4.347798,-69.792888,-37.29057
1.653864,-68.653849,-38.904253
8.139981,-71.555051,-45.394522
16.227243,-76.47526,-56.842078
8.634674,-80.854142,-50.70575
2.899968,-83.064772,-46.69095
-6.376358,-84.231479,-45.817624
-15.538437,-82.280999,-43.826342
-23.423709,-80.23743,-47.228523
-27.991761,-77.112184,-49.220502
-14.266141,-73.964783,-41.499305
-5.787827,-73.889817,-40.578228
2.222738,-73.753257,-42.982933
11.384972,-76.588442,-53.466031
2.128024,-74.779296,-43.804923
-5.903942,-74.912753,-41.514931
-14.356591,-74.993617,-42.216849
-77.425793,15.218326,-76.994628
-78.50978,-12.595805,-85.163757
-78.998016,-39.739702,-90.137828
-73.246105,-56.128218,-90.452479
-69.852135,-72.485354,-91.46762
-59.845247,-94.223694,-86.749526
-43.821225,-103.710545,-76.79615
-6.456545,-112.530842,-56.723958
21.227943,-101.707986,-80.605677
33.133544,-92.931399,-99.416636
38.131108,-74.361921,-101.668984
40.993649,-57.916642,-104.064604
47.430297,-41.515301,-103.177259
46.288769,-13.232574,-100.777766
46.653115,14.626602,-93.75403
