x,y,z
-25.223063,-16.781485,-53.081055
-31.537822,-11.560552,-52.205111
-39.36001,-7.681489,-47.664589
-46.987941,-9.725099,-48.952106
-55.612385,-14.569615,-55.914306
-48.318677,-19.11283,-51.356712
-39.672608,-19.126537,-50.616828
-31.625642,-17.84963,-53.348585
8.927182,-16.242618,-58.996277
14.147408,-11.968009,-59.132505
24.727086,-7.737566,-58.499754
31.490092,-10.4437,-64.680377
36.198438,-16.371804,-71.133308
31.548992,-19.991215,-65.074412
23.584599,-19.266891,-60.44766
15.206593,-18.289408,-59.73444
-24.501484,0.168523,-39.889327
-34.151353,4.425507,-40.577021
-43.060183,5.701202,-43.174485
-51.111353,6.006093,-46.703755
-59.805556,5.529748,-53.500775
-58.226601,2.116192,-51.0293
-50.879307,1.682353,-45.786603
-43.067642,-0.589488,-43.806735
-34.658643,-3.69006,-44.469623
-25.104248,-5.787285,-44.370021
11.334912,-0.280891,-46.378458
20.340169,2.123693,-49.744618
27.149254,5.689501,-54.242042
34.614286,7.559862,-63.341784
39.292961,4.932411,-69.896435
38.577488,0.395412,-66.78084
34.896999,0.991547,-61.185984
27.147764,-0.603989,-54.880816
19.997321,-3.915405,-53.348806
14.004421,-4.139347,-50.706299
-15.27645,-11.164761,-42.512216
-14.522148,-22.97011,-38.45182
-14.709085,-34.718563,-33.7006
-21.989634,-44.811365,-41.423638
-16.350547,-55.278447,-39.70655
-9.009037,-55.48899,-32.153261
0.044743,-56.371042,-34.216358
6.950676,-55.927919,-45.022457
10.572303,-46.345376,-48.56057
3.976843,-34.604691,-33.721906
2.39815,-22.494159,-44.677592
1.980881,-11.842479,-46.853898
-32.311731,-77.151928,-49.822651
-21.601804,-70.922154,-41.302776
-11.572597,-67.807024,-36.720242
-4.344741,-69.793385,-37.268374
1.654708,-68.653998,-38.897873
8.13876,-71.55485,-45.404219
16.224958,-76.474944,-56.861491
8.637541,-80.854431,-50.682804
2.896702,-83.064504,-46.716009
-6.367103,-84.232127,-45.750793
-15.543904,-82.280573,-43.863611
-23.425206,-80.237301,-47.238302
-27.982602,-77.113109,-49.162095
-14.272679,-73.963946,-41.544122
-5.79141,-73.889332,-40.604084
2.227596,-73.753954,-42.945944
11.388009,-76.588845,-53.441186
2.133798,-74.780085,-43.760962
-5.907493,-74.912295,-41.54055
-14.358157,-74.993426,-42.227582
-77.431585,15.221106,-77.02434
-78.552744,-12.58044,-85.384638
-79.17344,-40.791654,-91.139087
-73.340775,-56.111789,-90.952716
-69.741118,-72.496765,-90.87156
-59.838059,-94.223733,-86.709274
-43.729969,-103.706689,-76.248195
-6.159817,-111.447433,-54.461001
21.253121,-101.70678,-80.379147
33.121749,-92.931157,-99.53514
38.15963,-74.367142,-101.369381
41.110589,-57.955763,-102.802346
47.46172,-41.531335,-102.817662
46.285225,-13.229846,-100.81781
46.646831,14.633102,-93.824861
